pH,sampconc
3.25,1.40225194
4.74,2.398754591
5.61,1.596016344
4.96,1.208487535
5.57,1.056244074
5.73,0.945521557
6.19,1.125445647
6.46,0.820958726
7.16,0.654874951
7.66,1.111605333
7.766,0.28787661
8.485,0.16165417
8.425,0.59980563
8.579,0.218236643
7.527,1.135162877
7.972,0.52871483
7.889,0.9451038
6.999,1.743061757
6.872,1.854775871
6.691,2.181213217
5,3.278182464
5.5,2.360448117
6,1.858291587
6.5,1.477345255
7,1.286872088
7.5,1.096398922
8,0.611558135
8.5,0.50766368
9,0.680821104
9.5,0.230611802
4.932,4.138662574391648
5.404,3.35044767383585
5.733,2.9532040900013636
6.115,2.206804303533407
6.55,1.7865624069506076
6.895,1.4708582955874103
7.201,1.0777962231617075
7.825,0.061688950827178124
8.216,0.02405534814812149
8.983,-0.3857327699127175
